,precision,recall,f1-score,support
0,0.864406779661017,0.9272727272727272,0.8947368421052632,55.0
1,0.9603174603174603,0.968,0.9641434262948207,125.0
2,0.5714285714285714,0.5333333333333333,0.5517241379310344,15.0
3,0.875,0.9333333333333333,0.9032258064516129,15.0
4,0.8666666666666667,0.78,0.8210526315789474,50.0
5,0.8387096774193549,0.9454545454545454,0.8888888888888888,55.0
6,1.0,0.6,0.7499999999999999,15.0
7,1.0,1.0,1.0,15.0
8,0.7966101694915254,0.94,0.8623853211009174,50.0
9,0.9304347826086956,0.856,0.8916666666666667,125.0
accuracy,0.8903846153846153,0.8903846153846153,0.8903846153846153,0.8903846153846153
macro avg,0.870357410759329,0.848339393939394,0.8527823721018152,520.0
weighted avg,0.893991742085631,0.8903846153846153,0.8890804300473025,520.0
