,precision,recall,f1-score,support
0,0.7627118644067796,0.8181818181818182,0.7894736842105264,55.0
1,0.9047619047619048,0.912,0.9083665338645418,125.0
2,0.25,0.2,0.22222222222222224,15.0
3,0.8,0.8,0.8000000000000002,15.0
4,0.574468085106383,0.54,0.5567010309278351,50.0
5,0.7115384615384616,0.6727272727272727,0.6915887850467289,55.0
6,0.4166666666666667,0.3333333333333333,0.3703703703703704,15.0
7,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
8,0.75,0.84,0.7924528301886793,50.0
9,0.6904761904761905,0.696,0.6932270916334661,125.0
accuracy,0.7423076923076923,0.7423076923076923,0.7423076923076923,0.7423076923076923
macro avg,0.679395650628972,0.6745575757575757,0.6757735881797704,520.0
weighted avg,0.7359844886289795,0.7423076923076923,0.7384696556559897,520.0
