,0
0,9
1,0
2,4
3,5
4,9
5,1
6,1
7,3
8,8
9,9
10,0
11,1
12,3
13,9
14,2
15,3
16,9
17,9
18,7
19,1
20,6
21,1
22,9
23,7
24,9
25,8
26,1
27,1
28,8
29,2
30,9
31,8
32,8
33,9
34,8
35,1
36,9
37,9
38,1
39,1
40,1
41,7
42,4
43,5
44,9
45,9
46,1
47,1
48,5
49,1
50,2
51,0
52,5
53,9
54,0
55,0
56,8
57,5
58,4
59,1
60,1
61,9
62,0
63,0
64,9
65,0
66,1
67,4
68,0
69,0
70,3
71,1
72,1
73,9
74,5
75,8
76,9
77,1
78,4
79,9
80,7
81,1
82,0
83,5
84,0
85,9
86,9
87,9
88,7
89,6
90,8
91,4
92,1
93,1
94,5
95,1
96,9
97,9
98,0
99,0
100,4
101,8
102,8
103,2
104,4
105,5
106,8
107,5
108,5
109,4
110,1
111,9
112,2
113,5
114,8
115,9
116,8
117,1
118,8
119,9
120,1
121,5
122,5
123,9
124,1
125,1
126,6
127,4
128,4
129,9
130,1
131,1
132,8
133,1
134,9
135,1
136,4
137,2
138,0
139,8
140,5
141,0
142,1
143,4
144,4
145,0
146,9
147,9
148,5
149,1
150,1
151,5
152,9
153,1
154,5
155,0
156,1
157,5
158,5
159,3
160,0
161,8
162,0
163,1
164,1
165,1
166,1
167,1
168,9
169,0
170,5
171,9
172,5
173,0
174,4
175,1
176,1
177,8
178,0
179,5
180,4
181,1
182,4
183,9
184,4
185,1
186,9
187,4
188,0
189,3
190,1
191,9
192,1
193,8
194,5
195,7
196,9
197,7
198,9
199,9
200,9
201,0
202,9
203,0
204,5
205,1
206,8
207,1
208,5
209,7
210,4
211,5
212,0
213,0
214,9
215,0
216,8
217,1
218,1
219,9
220,8
221,1
222,4
223,4
224,4
225,3
226,2
227,5
228,8
229,1
230,9
231,1
232,9
233,9
234,1
235,6
236,5
237,9
238,2
239,1
240,2
241,0
242,9
243,9
244,1
245,1
246,5
247,0
248,9
249,7
250,9
251,1
252,1
253,1
254,9
255,0
256,9
257,4
258,1
259,1
260,4
261,1
262,1
263,1
264,5
265,5
266,9
267,2
268,7
269,8
270,5
271,4
272,4
273,1
274,7
275,0
276,5
277,8
278,9
279,5
280,0
281,3
282,4
283,6
284,3
285,9
286,0
287,1
288,5
289,1
290,3
291,9
292,9
293,8
294,1
295,9
296,1
297,0
298,0
299,5
300,1
301,5
302,9
303,5
304,1
305,1
306,1
307,7
308,8
309,1
310,9
311,9
312,1
313,4
314,1
315,8
316,5
317,9
318,9
319,7
320,9
321,8
322,9
323,5
324,0
325,5
326,9
327,0
328,1
329,9
330,5
331,1
332,9
333,4
334,1
335,6
336,7
337,1
338,9
339,4
340,8
341,8
342,5
343,8
344,0
345,4
346,5
347,4
348,9
349,5
350,5
351,3
352,8
353,8
354,1
355,9
356,5
357,1
358,1
359,1
360,0
361,9
362,0
363,2
364,4
365,2
366,8
367,1
368,1
369,3
370,9
371,5
372,1
373,5
374,1
375,9
376,1
377,9
378,8
379,8
380,1
381,9
382,1
383,1
384,1
385,9
386,4
387,4
388,9
389,8
390,9
391,9
392,0
393,1
394,5
395,1
396,2
397,8
398,2
399,1
400,1
401,9
402,0
403,9
404,8
405,7
406,8
407,9
408,8
409,4
410,5
411,6
412,1
413,9
414,1
415,1
416,9
417,1
418,4
419,5
420,4
421,9
422,3
423,9
424,4
425,0
426,9
427,5
428,4
429,8
430,4
431,0
432,1
433,9
434,9
435,1
436,1
437,9
438,9
439,5
440,1
441,0
442,0
443,1
444,0
445,4
446,8
447,8
448,0
449,4
450,9
451,4
452,1
453,2
454,8
455,0
456,1
457,0
458,1
459,9
460,1
461,8
462,8
463,9
464,8
465,4
466,1
467,8
468,7
469,8
470,9
471,8
472,2
473,9
474,3
475,9
476,5
477,0
478,6
479,4
480,6
481,0
482,1
483,8
484,9
485,4
486,9
487,8
488,9
489,0
490,1
491,5
492,4
493,1
494,8
495,1
496,3
497,0
498,0
499,1
500,9
501,0
502,5
503,4
504,9
505,0
506,2
507,1
508,5
509,8
510,9
511,1
512,1
513,9
514,4
515,0
516,1
517,9
518,6
519,5
,precision,recall,f1-score,support
0,0.8333333333333334,0.9090909090909091,0.8695652173913043,55.0
1,0.9838709677419355,0.976,0.9799196787148594,125.0
2,0.6470588235294118,0.7333333333333333,0.6875,15.0
3,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
4,0.7450980392156863,0.76,0.7524752475247525,50.0
5,0.85,0.9272727272727272,0.8869565217391303,55.0
6,1.0,0.6666666666666666,0.8,15.0
7,0.9375,1.0,0.967741935483871,15.0
8,0.8070175438596491,0.92,0.8598130841121495,50.0
9,0.9272727272727272,0.816,0.8680851063829788,125.0
accuracy,0.8826923076923077,0.8826923076923077,0.8826923076923077,0.8826923076923077
macro avg,0.8664484768286076,0.8641696969696969,0.8605390124682379,520.0
weighted avg,0.8881739552247578,0.8826923076923077,0.8827929603913593,520.0
