,0
0,0
1,1
2,4
3,1
4,1
5,0
6,9
7,6
8,8
9,0
10,1
11,1
12,8
13,2
14,0
15,4
16,1
17,0
18,5
19,9
20,8
21,9
22,1
23,0
24,9
25,1
26,9
27,6
28,2
29,7
30,9
31,9
32,9
33,0
34,2
35,8
36,8
37,2
38,5
39,0
40,1
41,9
42,1
43,9
44,0
45,9
46,9
47,5
48,9
49,4
50,9
51,9
52,9
53,0
54,9
55,1
56,0
57,3
58,1
59,1
60,2
61,5
62,1
63,1
64,1
65,6
66,8
67,6
68,1
69,9
70,5
71,8
72,0
73,1
74,0
75,1
76,8
77,7
78,9
79,1
80,0
81,9
82,8
83,9
84,0
85,1
86,1
87,1
88,5
89,5
90,9
91,1
92,9
93,8
94,0
95,8
96,1
97,0
98,9
99,0
100,9
101,4
102,1
103,0
104,9
105,4
106,7
107,9
108,9
109,9
110,0
111,1
112,5
113,1
114,0
115,9
116,1
117,6
118,5
119,2
120,5
121,4
122,9
123,1
124,9
125,2
126,0
127,9
128,1
129,0
130,3
131,4
132,9
133,9
134,0
135,9
136,9
137,5
138,0
139,7
140,9
141,9
142,0
143,5
144,1
145,5
146,6
147,1
148,1
149,9
150,1
151,5
152,1
153,1
154,9
155,8
156,1
157,3
158,5
159,9
160,0
161,9
162,9
163,4
164,9
165,1
166,8
167,1
168,8
169,5
170,1
171,5
172,1
173,5
174,9
175,4
176,9
177,8
178,5
179,4
180,9
181,4
182,1
183,3
184,7
185,9
186,9
187,4
188,1
189,9
190,1
191,1
192,5
193,2
194,4
195,5
196,9
197,9
198,1
199,9
200,5
201,1
202,0
203,4
204,1
205,5
206,8
207,5
208,0
209,8
210,9
211,9
212,8
213,9
214,1
215,9
216,1
217,9
218,1
219,1
220,5
221,3
222,0
223,1
224,2
225,7
226,8
227,1
228,0
229,1
230,0
231,0
232,9
233,5
234,9
235,5
236,1
237,1
238,5
239,9
240,4
241,8
242,0
243,8
244,9
245,1
246,9
247,7
248,1
249,4
250,1
251,0
252,9
253,6
254,8
255,5
256,2
257,0
258,5
259,9
260,6
261,9
262,8
263,9
264,9
265,1
266,8
267,3
268,0
269,5
270,1
271,6
272,1
273,0
274,9
275,1
276,0
277,5
278,1
279,8
280,0
281,8
282,9
283,0
284,8
285,9
286,0
287,8
288,0
289,1
290,0
291,7
292,5
293,1
294,9
295,9
296,9
297,9
298,1
299,5
300,8
301,9
302,9
303,1
304,5
305,9
306,5
307,1
308,5
309,0
310,0
311,0
312,1
313,4
314,5
315,1
316,9
317,9
318,0
319,1
320,8
321,0
322,9
323,8
324,1
325,9
326,0
327,1
328,1
329,1
330,9
331,0
332,5
333,9
334,0
335,9
336,0
337,5
338,9
339,3
340,1
341,5
342,1
343,1
344,0
345,1
346,9
347,0
348,0
349,8
350,1
351,9
352,5
353,1
354,1
355,0
356,9
357,8
358,9
359,7
360,5
361,1
362,1
363,1
364,8
365,9
366,5
367,1
368,1
369,1
370,1
371,0
372,1
373,4
374,1
375,1
376,1
377,5
378,9
379,1
380,5
381,1
382,0
383,9
384,9
385,0
386,9
387,1
388,0
389,0
390,4
391,8
392,1
393,1
394,9
395,1
396,1
397,9
398,9
399,5
400,4
401,3
402,8
403,9
404,5
405,1
406,9
407,8
408,1
409,8
410,8
411,6
412,1
413,9
414,1
415,3
416,0
417,9
418,8
419,5
420,0
421,9
422,9
423,6
424,4
425,1
426,9
427,9
428,9
429,1
430,1
431,1
432,6
433,0
434,5
435,1
436,1
437,1
438,8
439,9
440,1
441,5
442,1
443,9
444,7
445,1
446,4
447,1
448,1
449,5
450,5
451,0
452,9
453,9
454,7
455,1
456,1
457,1
458,9
459,1
460,0
461,1
462,5
463,8
464,1
465,5
466,5
467,5
468,8
469,9
470,5
471,1
472,1
473,1
474,9
475,4
476,2
477,1
478,0
479,9
480,0
481,5
482,0
483,9
484,3
485,1
486,9
487,8
488,1
489,6
490,5
491,9
492,9
493,8
494,0
495,1
496,5
497,1
498,1
499,0
500,9
501,5
502,9
503,2
504,9
505,1
506,8
507,1
508,0
509,3
510,1
511,5
512,5
513,9
514,5
515,9
516,9
517,3
518,0
